9/27/2022; 8,14,24,43,51; Mega Ball: 9
9/23/2022; 5,50,53,58,64; Mega Ball: 22
9/20/2022; 9,21,28,30,52; Mega Ball: 10
9/16/2022; 15,30,35,38,66; Mega Ball: 12
9/13/2022; 14,25,38,59,64; Mega Ball: 21
9/9/2022; 16,21,54,55,69; Mega Ball: 22
9/6/2022; 6,17,46,59,68; Mega Ball: 2
9/2/2022; 39,40,52,60,67; Mega Ball: 20
8/30/2022; 2,38,55,57,65; Mega Ball: 17
8/26/2022; 6,27,30,38,64; Mega Ball: 23
8/23/2022; 3,5,47,48,67; Mega Ball: 7
8/19/2022; 12,18,24,46,65; Mega Ball: 3
8/16/2022; 33,35,41,45,51; Mega Ball: 1
8/12/2022; 23,24,50,54,64; Mega Ball: 3
8/9/2022; 1,8,10,25,32; Mega Ball: 13
8/5/2022; 2,5,29,64,69; Mega Ball: 18
8/2/2022; 10,14,25,37,63; Mega Ball: 14
7/29/2022; 13,36,45,57,67; Mega Ball: 14
7/26/2022; 7,29,60,63,66; Mega Ball: 15
7/22/2022; 14,40,60,64,66; Mega Ball: 16
7/19/2022; 2,31,32,37,70; Mega Ball: 25
7/15/2022; 8,20,26,53,64; Mega Ball: 15
7/12/2022; 4,7,10,45,64; Mega Ball: 12
7/8/2022; 20,36,61,62,69; Mega Ball: 20
7/5/2022; 27,31,50,51,61; Mega Ball: 21
7/1/2022; 1,27,29,38,62; Mega Ball: 12
6/28/2022; 7,12,21,43,55; Mega Ball: 11
6/24/2022; 1,7,11,25,56; Mega Ball: 14
6/21/2022; 8,13,18,32,42; Mega Ball: 20
6/17/2022; 20,36,53,56,69; Mega Ball: 16
6/14/2022; 30,37,38,42,58; Mega Ball: 22
6/10/2022; 3,12,14,18,32; Mega Ball: 4
6/7/2022; 4,34,40,41,53; Mega Ball: 3
6/3/2022; 11,16,22,48,59; Mega Ball: 11
5/31/2022; 6,15,41,63,64; Mega Ball: 24
5/27/2022; 3,14,40,53,54; Mega Ball: 8
5/24/2022; 3,5,6,63,68; Mega Ball: 25
5/20/2022; 33,40,59,60,69; Mega Ball: 22
5/17/2022; 7,21,24,41,65; Mega Ball: 24
5/13/2022; 11,41,43,44,65; Mega Ball: 13
5/10/2022; 15,19,20,61,70; Mega Ball: 9
5/6/2022; 16,21,33,52,70; Mega Ball: 10
5/3/2022; 15,19,27,35,57; Mega Ball: 17
4/29/2022; 9,11,34,49,66; Mega Ball: 15
4/26/2022; 5,7,19,46,69; Mega Ball: 2
4/22/2022; 7,28,29,58,59; Mega Ball: 10
4/19/2022; 2,9,33,47,53; Mega Ball: 24
4/15/2022; 4,17,20,46,64; Mega Ball: 23
4/12/2022; 2,8,14,20,31; Mega Ball: 17
4/8/2022; 8,11,29,32,40; Mega Ball: 2
4/5/2022; 22,43,60,63,64; Mega Ball: 18
4/1/2022; 26,42,47,48,63; Mega Ball: 21
3/29/2022; 7,22,36,45,47; Mega Ball: 12
3/25/2022; 3,13,42,51,58; Mega Ball: 17
3/22/2022; 8,15,21,27,61; Mega Ball: 8
3/18/2022; 2,6,25,40,45; Mega Ball: 5
3/15/2022; 9,14,28,59,60; Mega Ball: 24
3/11/2022; 24,28,39,44,66; Mega Ball: 25
3/8/2022; 7,18,38,58,64; Mega Ball: 24
3/4/2022; 11,19,28,46,47; Mega Ball: 5
3/1/2022; 18,22,38,39,50; Mega Ball: 18
2/25/2022; 15,31,40,56,66; Mega Ball: 4
2/22/2022; 6,17,22,57,62; Mega Ball: 3
2/18/2022; 6,11,50,63,68; Mega Ball: 17
2/15/2022; 2,4,15,21,63; Mega Ball: 19
2/11/2022; 11,16,23,24,30; Mega Ball: 24
2/8/2022; 1,17,20,52,54; Mega Ball: 2
2/4/2022; 7,16,34,44,61; Mega Ball: 24
2/1/2022; 11,24,38,62,66; Mega Ball: 1
1/28/2022; 3,16,25,44,55; Mega Ball: 13
1/25/2022; 3,12,38,53,58; Mega Ball: 13
1/21/2022; 38,45,46,55,67; Mega Ball: 18
1/18/2022; 4,19,39,42,52; Mega Ball: 9
1/14/2022; 5,8,13,22,48; Mega Ball: 25
1/11/2022; 2,3,19,52,58; Mega Ball: 16
1/7/2022; 7,29,43,56,57; Mega Ball: 6
1/4/2022; 4,6,16,21,22; Mega Ball: 1
12/31/2021; 2,5,30,46,61; Mega Ball: 8
12/28/2021; 3,5,8,31,38; Mega Ball: 4
12/24/2021; 16,17,25,36,37; Mega Ball: 16
12/21/2021; 25,31,58,64,67; Mega Ball: 24
12/17/2021; 21,32,38,48,62; Mega Ball: 10
12/14/2021; 33,35,44,55,69; Mega Ball: 20
12/10/2021; 23,25,40,42,60; Mega Ball: 8
12/7/2021; 1,7,40,43,68; Mega Ball: 1
12/3/2021; 22,45,48,58,61; Mega Ball: 13
11/30/2021; 7,8,26,30,39; Mega Ball: 17
11/26/2021; 7,27,37,42,59; Mega Ball: 2
11/23/2021; 7,24,54,57,58; Mega Ball: 6
11/19/2021; 5,23,52,53,59; Mega Ball: 18
11/16/2021; 6,22,44,53,65; Mega Ball: 3
